Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
7/25,-0.02 ,0.00 ,-0.03 ,-0.06 ,-0.01 ,0.00 ,-0.05 ,0.00 ,-0.01 ,-0.02 ,-0.12 ,-0.05 ,-0.14 ,0.00 ,-0.05 ,-0.03 ,-0.06 ,0.02 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.02 ,-0.02 ,-0.06 
8/1,-0.04 ,0.00 ,-0.01 ,0.00 ,0.00 ,-0.04 ,0.02 ,0.00 ,0.00 ,-0.04 ,-0.02 ,-0.01 ,-0.02 ,0.00 ,0.03 ,0.03 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.03 ,-0.03 ,0.00 ,0.00 ,0.00 
8/8,-0.14 ,0.00 ,-0.05 ,-0.12 ,0.06 ,-0.04 ,0.00 ,0.06 ,0.00 ,-0.09 ,-0.11 ,-0.02 ,0.00 ,-0.08 ,0.02 ,0.10 ,-0.02 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.04 ,-0.05 ,0.01 ,-0.03 
8/15,0.00 ,0.00 ,-0.02 ,0.00 ,0.07 ,0.00 ,-0.01 ,0.00 ,0.00 ,-0.01 ,0.01 ,-0.01 ,0.00 ,0.00 ,-0.01 ,-0.01 ,-0.11 ,-0.01 ,-0.03 ,-0.02 ,-0.01 ,0.00 ,-0.01 ,-0.03 ,-0.01 
8/22,0.02 ,-0.01 ,-0.10 ,0.00 ,-0.02 ,-0.06 ,-0.06 ,0.00 ,-0.01 ,-0.03 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.04 ,-0.03 ,-0.09 ,0.00 ,-0.03 ,-0.02 ,-0.01 ,-0.11 ,0.00 
8/29,-0.10 ,-0.01 ,-0.04 ,-0.03 ,-0.01 ,-0.04 ,-0.08 ,0.01 ,-0.03 ,-0.03 ,0.00 ,0.00 ,-0.03 ,0.00 ,-0.03 ,0.01 ,-0.11 ,0.00 ,0.00 ,-0.02 ,-0.02 ,0.07 ,-0.08 ,-0.08 ,-0.13 
9/5,-0.19 ,0.00 ,-0.02 ,-0.02 ,0.00 ,0.01 ,0.00 ,0.01 ,0.00 ,-0.04 ,0.00 ,0.00 ,-0.02 ,-0.08 ,-0.02 ,0.00 ,-0.18 ,-0.01 ,0.00 ,0.02 ,-0.05 ,0.06 ,-0.01 ,-0.05 ,-0.01 
9/12,-0.01 ,0.00 ,-0.07 ,0.00 ,0.02 ,0.02 ,0.00 ,0.00 ,0.00 ,-0.09 ,-0.02 ,0.00 ,0.00 ,-0.02 ,-0.06 ,0.07 ,-0.04 ,0.01 ,0.01 ,-0.10 ,-0.02 ,0.01 ,-0.01 ,-0.02 ,-0.01 
9/19,0.00 ,0.00 ,-0.01 ,-0.03 ,-0.10 ,0.00 ,0.02 ,-0.01 ,0.03 ,-0.10 ,-0.15 ,0.02 ,0.00 ,0.00 ,-0.12 ,-0.04 ,-0.03 ,-0.04 ,0.00 ,-0.26 ,-0.02 ,-0.03 ,-0.05 ,-0.09 ,-0.07 
10/3,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.02 ,-0.01 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.01 ,0.00 ,0.00 ,-0.08 ,-0.02 ,-0.07 ,-0.03 ,-0.11 ,-0.26 ,0.00 ,-0.01 ,-0.04 ,-0.16 ,-0.09 
10/10,0.00 ,0.00 ,-0.05 ,-0.01 ,-0.02 ,-0.01 ,0.00 ,0.01 ,-0.02 ,-0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.08 ,-0.06 ,0.00 ,0.00 ,-0.02 ,-0.07 ,0.00 ,0.00 ,-0.10 ,-0.26 ,-0.02 
10/17,0.00 ,0.00 ,-0.05 ,-0.02 ,-0.15 ,-0.01 ,0.00 ,0.01 ,-0.03 ,-0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.05 ,-0.08 ,-0.07 ,0.00 ,0.00 ,-0.09 ,0.00 ,-0.02 ,-0.09 ,-0.18 ,-0.02 
10/24,0.00 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.04 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.09 ,-0.01 ,-0.02 ,0.00 ,0.00 ,-0.11 ,-0.03 ,-0.12 ,-0.03 
10/31,-0.08 ,-0.03 ,-0.07 ,-0.01 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.02 ,0.01 ,0.00 ,-0.03 ,-0.01 ,0.00 ,-0.04 ,-0.06 ,-0.04 ,-0.03 ,-0.01 ,0.00 ,-0.01 ,-0.02 ,-0.09 ,-0.07 ,-0.08 
11/7,-0.05 ,0.00 ,-0.01 ,-0.01 ,-0.04 ,-0.01 ,-0.03 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.02 ,-0.07 ,-0.05 ,0.00 ,-0.04 ,0.00 ,-0.05 ,-0.08 ,-0.04 ,-0.10 ,-0.05 
11/14,-0.01 ,0.00 ,-0.04 ,-0.02 ,-0.04 ,0.02 ,0.02 ,-0.03 ,0.00 ,-0.02 ,0.00 ,-0.02 ,0.00 ,-0.02 ,-0.10 ,-0.08 ,0.00 ,0.00 ,-0.02 ,0.01 ,0.00 ,-0.06 ,-0.15 ,-0.10 ,-0.02 
11/21,-0.03 ,-0.02 ,-0.06 ,-0.03 ,0.00 ,0.04 ,-0.05 ,-0.03 ,0.01 ,-0.04 ,-0.01 ,0.00 ,-0.03 ,-0.08 ,-0.10 ,-0.18 ,0.00 ,0.00 ,-0.07 ,-0.12 ,-0.01 ,-0.04 ,-0.09 ,-0.07 ,-0.08 
11/28,-0.08 ,0.00 ,-0.02 ,-0.07 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,-0.02 ,0.00 ,-0.02 ,-0.03 ,-0.03 ,-0.11 ,-0.23 ,-0.03 ,-0.11 ,0.00 ,0.00 ,-0.02 ,-0.03 ,-0.07 ,-0.06 ,-0.13 
